cp,tp
0,0.000363221
0,0.00035145
0,0.000337998
0,0.000327908
0,0.000322863
0,0.000316137
0,0.000311092
0,0.000307729
0,0.000304366
0,0.000301003
0,0.000299321
0,0.00029764
0,0.000292595
0,0.00028755
0,0.000284187
0,0.000282505
0,0.000282505
0,0.000282505
0,0.000279142
0,0.000274098
0,0.000272416
0,0.000270734
0,0.000267371
0,0.000262326
0,0.000257282
0,0.000252237
0,0.000250555
0,0.000247192
0,0.000243829
0,0.000240466
0,0.000237103
5.85E-07,0.00023374
5.85E-07,0.000230376
1.17E-06,0.000227013
1.17E-06,0.000225332
1.76E-06,0.000228695
2.93E-06,0.000230376
4.10E-06,0.00023374
4.10E-06,0.000240466
5.27E-06,0.000248874
5.85E-06,0.000257282
7.02E-06,0.000262326
8.19E-06,0.000267371
9.36E-06,0.000274098
1.05E-05,0.000279142
1.17E-05,0.000284187
1.17E-05,0.00028755
1.29E-05,0.000289232
1.35E-05,0.000292595
1.35E-05,0.000294276
1.29E-05,0.000295958
1.29E-05,0.000295958
1.23E-05,0.000295958
1.17E-05,0.000299321
1.11E-05,0.000302684
1.05E-05,0.000307729
1.05E-05,0.000311092
1.23E-05,0.000321182
1.52E-05,0.00032959
1.87E-05,0.000337998
2.17E-05,0.000346405
2.22E-05,0.000359858
2.28E-05,0.000373311
2.40E-05,0.000388445
2.81E-05,0.000405261
3.04E-05,0.00041535
3.39E-05,0.00042544
3.69E-05,0.000435529
3.98E-05,0.000448982
4.04E-05,0.000467479
4.10E-05,0.000487658
4.21E-05,0.000506156
4.86E-05,0.000528016
7.43E-05,0.000581827
0.00010535,0.000642364
0.000135784,0.000704582
0.000134028,0.000733169
0.00010652,0.000736532
7.96E-05,0.000741577
5.27E-05,0.000748303
4.51E-05,0.000778571
3.22E-05,0.000793706
1.93E-05,0.000810522
7.02E-06,0.000827337
8.19E-06,0.000820611
1.05E-05,0.00080884
1.29E-05,0.00079875
1.58E-05,0.000785298
1.58E-05,0.000763437
1.64E-05,0.000743258
1.70E-05,0.000723079
1.70E-05,0.0007029
1.58E-05,0.000684403
1.40E-05,0.000664224
1.29E-05,0.000644045
1.11E-05,0.00061714
8.19E-06,0.000588553
6.44E-06,0.000565011
4.10E-06,0.000539787
2.34E-06,0.00052129
1.17E-06,0.000507837
1.17E-06,0.000494384
0,0.000480932
0,0.000472524
0,0.000465798
0,0.00045739
0,0.000450663
0,0.000445619
0,0.000442256
0,0.000438892
0,0.000435529
0,0.000433848
0,0.000430484
0,0.000427121
0,0.00042544
0,0.000428803
0,0.000432166
0,0.000437211
0,0.000438892
0,0.000438892
0,0.000438892
0,0.000438892
0,0.000438892
0,0.000437211
0,0.000433848
0,0.000432166
0,0.000430484
0,0.00042544
0,0.000422077
0,0.000417032
0,0.000408624
0,0.000396853
0,0.000386763
0,0.000378355
0,0.000368266
0,0.000354813
0,0.000343042
0,0.00032959
0,0.000321182
0,0.000314455
0,0.000306048
0,0.000301003
0,0.000299321
0,0.000295958
0,0.000294276
0,0.000294276
0,0.000295958
0,0.000299321
0,0.000302684
0,0.000302684
0,0.000304366
0,0.000306048
0,0.000309411
0,0.000311092
0,0.000316137
0,0.000321182
0,0.000322863
0,0.0003195
0,0.000317819
0,0.000317819
0,0.000316137
0,0.000314455
0,0.000314455
0,0.000311092
0,0.000309411
0,0.000304366
0,0.000301003
0,0.00029764
0,0.000294276
0,0.000292595
0,0.000292595
0,0.000289232
0,0.000292595
0,0.000299321
0,0.000304366
0,0.000309411
0,0.000317819
0,0.000326226
0,0.000334634
0,0.000344724
0,0.000353132
0,0.00036154
0,0.000369948
0,0.000378355
0,0.000380037
0,0.000385082
0,0.000388445
0,0.000385082
0,0.000378355
0,0.000373311
0,0.000369948
0,0.000364903
0,0.000356495
0,0.000349769
0,0.000343042
0,0.000343042
0,0.000343042
5.85E-07,0.000341361
5.85E-07,0.000339679
5.85E-07,0.000343042
5.85E-07,0.000348087
0,0.00035145
0,0.00035145
0,0.000366584
0,0.000390127
0,0.000411987
0,0.000435529
0,0.000443937
0,0.000454027
0,0.000464116
0,0.000501111
0,0.000531379
0,0.000549877
0,0.000566692
0,0.00058519
5.85E-07,0.000605369
5.85E-07,0.000627229
1.17E-06,0.000650771
1.17E-06,0.000687766
1.76E-06,0.000704582
1.76E-06,0.000719716
2.34E-06,0.000731487
4.10E-06,0.000751666
6.44E-06,0.000778571
8.78E-06,0.000803795
1.11E-05,0.000822293
1.52E-05,0.00086265
1.70E-05,0.00093664
1.81E-05,0.00101063
1.93E-05,0.001082937
1.70E-05,0.001140111
1.35E-05,0.001195603
9.95E-06,0.001252777
6.44E-06,0.001291453
1.23E-05,0.001353672
1.52E-05,0.001410846
1.81E-05,0.001468019
2.17E-05,0.001528556
2.75E-05,0.001592456
3.34E-05,0.001656356
3.98E-05,0.001721938
5.09E-05,0.001787519
6.50E-05,0.001843012
8.08E-05,0.001896822
9.60E-05,0.001950633
0.000122323,0.002012851
0.000155098,0.002078433
0.000187874,0.002145696
0.000225331,0.002219685
0.000259277,0.002260043
0.000273324,0.002278541
0.000286785,0.002297038
0.000300832,0.002313854
0.00031839,0.002323943
0.000335948,0.002332351
0.000354092,0.002340759
0.0003617,0.002349167
0.000358189,0.002332351
0.000369309,0.002328988
0.000381014,0.002325625
0.000390964,0.00232058
0.000395061,0.002310491
0.000400329,0.00229872
0.00040267,0.002283585
0.000395061,0.002251635
0.00040267,0.002254999
0.000417887,0.002268451
0.000431933,0.002281904
0.000451248,0.002302083
0.000472903,0.002327307
0.000495143,0.00235253
0.000527919,0.00238448
0.000585861,0.00244838
0.000606346,0.002482012
0.000626245,0.002515644
0.000645559,0.002547594
0.000647315,0.002561046
0.000646144,0.002572817
0.000644974,0.002582907
0.00062683,0.002569454
0.000619222,0.002574499
0.000624489,0.002594678
0.000630342,0.002616538
0.000640877,0.002638399
0.000670726,0.002666986
0.00070116,0.002695573
0.00073218,0.002725841
0.000757932,0.002744338
0.000745056,0.002725841
0.000726912,0.002709025
0.000708769,0.002688846
0.00071111,0.002695573
0.00073218,0.002724159
0.00075325,0.002751065
0.000770808,0.002774607
0.000784269,0.002799831
0.000826995,0.002851959
0.000870305,0.002907452
0.000913615,0.002962944
0.000935856,0.002994894
0.000953999,0.003025162
0.000972728,0.003055431
0.000903666,0.002899044
0.000921809,0.002910815
0.000944635,0.002930994
0.000967461,0.002949491
0.001000236,0.002981441
0.001048814,0.003030207
0.001093295,0.00307561
0.001137191,0.003121012
0.001181672,0.003164733
0.00124254,0.003228633
0.001303409,0.003294215
0.001365448,0.003359797
0.001435681,0.003425378
0.001568539,0.003538044
0.001701982,0.003652392
0.00183601,0.003766739
0.001943701,0.003849136
0.001988182,0.003865952
0.002032663,0.003882768
0.002077144,0.003897902
0.002176055,0.003975255
0.002255653,0.004035792
0.002335835,0.004092965
0.002414848,0.004151821
0.002417189,0.004123234
0.002425968,0.004099692
0.002435332,0.00407615
0.002444111,0.004054289
0.002497371,0.004087921
0.002555314,0.004128279
0.002613841,0.004166955
0.002624962,0.004156865
0.002605062,0.004109781
0.002585163,0.004061015
0.002565849,0.004015613
0.002562337,0.003976936
0.002598039,0.003971892
0.002633741,0.003966847
0.002669443,0.003961802
0.002644276,0.00390631
0.002588089,0.003825594
0.002533073,0.003744878
0.002478057,0.003664163
0.002513174,0.003680978
0.002538926,0.003689386
0.002564093,0.003697794
0.002589845,0.003706202
0.00262262,0.003741515
0.002635497,0.003756649
0.002647202,0.003773465
0.002677636,0.003808778
0.002722703,0.003879405
0.002757819,0.003943305
0.00279235,0.004008886
0.002839758,0.004086239
0.002889506,0.004178726
0.002938669,0.004269531
0.002986662,0.004360337
0.003038166,0.004447779
0.003101961,0.004509997
0.003164586,0.004572216
0.00322721,0.004634434
0.00317395,0.004575579
0.003069186,0.004444416
0.002963251,0.004314934
0.002857901,0.004185452
0.002766013,0.004086239
0.002657152,0.003971892
0.002547705,0.003857544
0.002437673,0.003741515
0.002318277,0.003633894
0.002199466,0.003526273
0.00208007,0.003415289
0.001969453,0.003316076
0.001992279,0.003369886
0.002025054,0.003433786
0.002057829,0.003497686
0.002106407,0.003568313
0.002265602,0.00374656
0.002424212,0.003926489
0.002582822,0.004103055
0.002669443,0.00419386
0.002693439,0.00420395
0.002717435,0.004214039
0.002742017,0.004224129
0.002748455,0.004217402
0.002719191,0.004172
0.002689927,0.004128279
0.002660078,0.004081194
0.002673539,0.004082876
0.002698121,0.004092965
0.002721532,0.004103055
0.002744943,0.004114826
0.002748455,0.00409801
0.002730897,0.004057652
0.002713338,0.004017294
0.00268583,0.003968529
0.002641349,0.0039164
0.002599209,0.003867634
0.00255707,0.003818868
0.002536585,0.003795326
0.002654811,0.003929852
0.002773036,0.004064379
0.002891262,0.004198905
0.002935158,0.004259442
0.002883653,0.00422581
0.002832149,0.004192179
0.002780645,0.004156865
0.002757819,0.004141731
0.002750796,0.004124915
0.002743773,0.004109781
0.002737335,0.004094647
0.002707485,0.004042518
0.002634326,0.00393826
0.002559996,0.003834002
0.002485666,0.003728063
0.002466352,0.003684342
0.002446453,0.00364062
0.002426553,0.003595218
0.002400801,0.00354477
0.002375049,0.003497686
0.002352223,0.003455647
0.002328812,0.003413607
0.002294281,0.003359797
0.002291354,0.003342981
0.002288428,0.003326165
0.002284916,0.003309349
0.002271455,0.003284126
0.002257994,0.003265628
0.002243947,0.003248812
0.0022299,0.003230315
0.002188931,0.003186594
0.002138597,0.003131102
0.002088264,0.003077291
0.002037345,0.003021799
0.002006325,0.002996575
0.001969453,0.002966307
0.001931995,0.002936038
0.001894538,0.00290577
0.001844789,0.002855323
0.001778653,0.002784696
0.001712517,0.002715752
0.001648722,0.002646807
0.001584927,0.002584588
0.001518205,0.00252237
0.001450899,0.002460151
0.001376568,0.002389525
0.001315115,0.002334033
0.001253075,0.002278541
0.001191621,0.002223049
0.001148311,0.002191099
0.00113485,0.002206233
0.001120803,0.002221367
0.001107342,0.002236501
0.00108159,0.002236501
0.001048814,0.00223482
0.001015453,0.002233138
0.000982093,0.002231457
0.000958682,0.00222473
0.000932929,0.002209596
0.000906007,0.002194462
0.000879084,0.002179328
0.000850406,0.002201188
0.00084982,0.002231457
0.000849235,0.002261725
0.00084865,0.002290312
0.000836944,0.002340759
0.00080651,0.002374391
0.00077549,0.002406341
0.000746812,0.002439972
0.000779002,0.002527415
0.00081646,0.002629991
0.000853332,0.002732567
0.000883766,0.002808238
0.000920639,0.00284187
0.000958682,0.002878865
0.00099731,0.002914178
0.001023647,0.00293772
0.001028329,0.002932675
0.001032426,0.002927631
0.001035938,0.002922586
0.001059934,0.002946128
0.00109271,0.002978078
0.001124315,0.003010028
0.00115709,0.003041978
0.001166455,0.003057112
0.00115709,0.003045341
0.001148311,0.003031889
0.001138947,0.003020117
0.001148311,0.002999939
0.001155334,0.002971352
0.001161772,0.002942765
0.001169381,0.002914178
0.001141288,0.002840188
0.001101489,0.002751065
0.001061105,0.002660259
0.001026574,0.002582907
0.001011356,0.002559365
0.000994969,0.002534141
0.000977996,0.002510599
0.000937026,0.002461833
